name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,ROI
Dogville,R,Crime,2003,"April 23, 2004 (United States)",8.0,141000.0,Lars von Trier,Lars von Trier,Nicole Kidman,Denmark,10000000.0,16689283.0,Zentropa Entertainments,178.0,0.6689283
Elf,PG,Adventure,2003,"November 7, 2003 (United States)",7.0,235000.0,Jon Favreau,David Berenbaum,Will Ferrell,United States,33000000.0,223853736.0,New Line Cinema,97.0,5.783446545454545
Freaky Friday,PG,Comedy,2003,"August 6, 2003 (United States)",6.2,129000.0,Mark Waters,Mary Rodgers,Jamie Lee Curtis,United States,20000000.0,160846332.0,Casual Friday Productions,97.0,7.0423166
Charlie's Angels: Full Throttle,PG-13,Action,2003,"June 27, 2003 (United States)",4.9,123000.0,McG,Ivan Goff,Drew Barrymore,United States,120000000.0,259175788.0,Columbia Pictures,106.0,1.1597982333333334
Legally Blonde 2,PG-13,Comedy,2003,"July 2, 2003 (United States)",4.8,63000.0,Charles Herman-Wurmfeld,Amanda Brown,Reese Witherspoon,United States,45000000.0,124914842.0,Metro-Goldwyn-Mayer (MGM),95.0,1.7758853777777779
Dickie Roberts: Former Child Star,PG-13,Comedy,2003,"September 5, 2003 (United States)",5.6,14000.0,Sam Weisman,Fred Wolf,David Spade,United States,17000000.0,23769505.0,Paramount Pictures,98.0,0.39820617647058826
Anger Management,PG-13,Comedy,2003,"April 11, 2003 (United States)",6.2,207000.0,Peter Segal,David Dorfman,Jack Nicholson,United States,75000000.0,195745823.0,Revolution Studios,106.0,1.6099443066666668
Open Water,R,Adventure,2003,"August 20, 2004 (United States)",5.7,52000.0,Chris Kentis,Chris Kentis,Blanchard Ryan,United States,500000.0,54683487.0,Plunge Pictures LLC,79.0,108.366974
Something's Gotta Give,PG-13,Comedy,2003,"December 12, 2003 (United States)",6.7,115000.0,Nancy Meyers,Nancy Meyers,Jack Nicholson,United States,80000000.0,265328738.0,Columbia Pictures,128.0,2.316609225
Girl with a Pearl Earring,PG-13,Biography,2003,"January 30, 2004 (United States)",6.9,74000.0,Peter Webber,Tracy Chevalier,Scarlett Johansson,United Kingdom,12000000.0,33030115.0,Archer Street Productions,100.0,1.7525095833333333
The Cat in the Hat,PG,Adventure,2003,"November 21, 2003 (United States)",4.0,59000.0,Bo Welch,Dr. Seuss,Mike Myers,United States,109000000.0,133960541.0,Universal Pictures,82.0,0.22899578899082568
Brother Bear,G,Animation,2003,"November 1, 2003 (United States)",6.8,101000.0,Aaron Blaise,Tab Murphy,Joaquin Phoenix,United States,128000000.0,250397798.0,Walt Disney Animation Studios,85.0,0.956232796875
The Brown Bunny,Not Rated,Drama,2003,"November 14, 2003 (Austria)",5.0,14000.0,Vincent Gallo,Vincent Gallo,Vincent Gallo,United States,10000000.0,402599.0,Gray Daisy Films,93.0,-0.9597401
Tears of the Sun,R,Action,2003,"March 7, 2003 (United States)",6.6,115000.0,Antoine Fuqua,Alex Lasker,Bruce Willis,United States,75000000.0,86468162.0,Cheyenne Enterprises,121.0,0.15290882666666666
Final Destination 2,R,Horror,2003,"January 31, 2003 (United States)",6.2,156000.0,David R. Ellis,J. Mackye Gruber,A.J. Cook,United States,26000000.0,90941129.0,New Line Cinema,90.0,2.497735730769231
21 Grams,R,Crime,2003,"January 16, 2004 (United States)",7.6,228000.0,Alejandro G. Iñárritu,Guillermo Arriaga,Sean Penn,United States,20000000.0,60427839.0,This Is That Productions,124.0,2.02139195
Intolerable Cruelty,PG-13,Comedy,2003,"October 10, 2003 (United States)",6.2,93000.0,Joel Coen,Robert Ramsey,George Clooney,United States,60000000.0,120801243.0,Universal Pictures,100.0,1.01335405
Johnny English,PG,Action,2003,"July 18, 2003 (United States)",6.2,152000.0,Peter Howitt,Neal Purvis,Rowan Atkinson,United Kingdom,40000000.0,160466000.0,Universal Pictures,87.0,3.01165
The Hunted,R,Action,2003,"March 14, 2003 (United States)",6.1,45000.0,William Friedkin,David Griffiths,Tommy Lee Jones,United States,55000000.0,46061847.0,Lakeshore Entertainment,94.0,-0.16251187272727272
Matchstick Men,PG-13,Comedy,2003,"September 12, 2003 (United States)",7.3,126000.0,Ridley Scott,Eric Garcia,Nicolas Cage,United States,62000000.0,65565672.0,Warner Bros.,116.0,0.05751083870967742
Under the Tuscan Sun,PG-13,Comedy,2003,"September 26, 2003 (United States)",6.8,49000.0,Audrey Wells,Frances Mayes,Diane Lane,United States,18000000.0,58878723.0,Touchstone Pictures,113.0,2.271040166666667
Seabiscuit,PG-13,Drama,2003,"July 25, 2003 (United States)",7.3,68000.0,Gary Ross,Laura Hillenbrand,Tobey Maguire,United States,87000000.0,148336445.0,Universal Pictures,140.0,0.7050166091954023
American Wedding,R,Comedy,2003,"August 1, 2003 (United States)",6.3,198000.0,Jesse Dylan,Adam Herz,Jason Biggs,United States,55000000.0,232722935.0,Universal Pictures,96.0,3.231326090909091
Just Married,PG-13,Comedy,2003,"January 10, 2003 (United States)",5.5,69000.0,Shawn Levy,Sam Harper,Ashton Kutcher,United States,18000000.0,101564935.0,Twentieth Century Fox,95.0,4.642496388888889
Lara Croft Tomb Raider: The Cradle of Life,PG-13,Action,2003,"July 25, 2003 (United States)",5.6,132000.0,Jan de Bont,Dean Georgaris,Angelina Jolie,United States,95000000.0,160099222.0,Paramount Pictures,117.0,0.6852549684210526
Elephant,R,Crime,2003,"November 14, 2003 (United States)",7.2,88000.0,Gus Van Sant,Gus Van Sant,Elias McConnell,United States,3000000.0,10012022.0,HBO Films,81.0,2.3373406666666665
Darkness Falls,PG-13,Fantasy,2003,"January 24, 2003 (United States)",5.0,31000.0,Jonathan Liebesman,Joe Harris,Chaney Kley,United States,11000000.0,47488536.0,Revolution Studios,86.0,3.3171396363636365
Spy Kids 3-D: Game Over,PG,Action,2003,"July 25, 2003 (United States)",4.3,57000.0,Robert Rodriguez,Robert Rodriguez,Daryl Sabara,United States,38000000.0,197101678.0,Dimension Films,84.0,4.186886263157895
Gigli,R,Comedy,2003,"August 1, 2003 (United States)",2.5,46000.0,Martin Brest,Martin Brest,Ben Affleck,United States,54000000.0,7266209.0,Revolution Studios,121.0,-0.865440574074074
Out of Time,PG-13,Crime,2003,"October 3, 2003 (United States)",6.5,58000.0,Carl Franklin,David Collard,Denzel Washington,United States,50000000.0,55495563.0,Metro-Goldwyn-Mayer (MGM),105.0,0.10991126
The Core,PG-13,Action,2003,"March 28, 2003 (United States)",5.5,95000.0,Jon Amiel,Cooper Layne,Aaron Eckhart,United Kingdom,60000000.0,73498611.0,Paramount Pictures,135.0,0.22497685
Dumb and Dumberer: When Harry Met Lloyd,PG-13,Comedy,2003,"June 13, 2003 (United States)",3.4,38000.0,Troy Miller,Peter Farrelly,Derek Richardson,United States,19000000.0,39267515.0,New Line Cinema,85.0,1.0667113157894736
Runaway Jury,PG-13,Crime,2003,"October 17, 2003 (United States)",7.1,94000.0,Gary Fleder,John Grisham,John Cusack,United States,60000000.0,80154140.0,New Regency Productions,127.0,0.33590233333333336
Jeepers Creepers 2,R,Horror,2003,"August 29, 2003 (United States)",5.6,60000.0,Victor Salva,Victor Salva,Jonathan Breck,United States,17000000.0,63102666.0,United Artists,104.0,2.711921529411765
Shanghai Knights,PG-13,Action,2003,"February 7, 2003 (United States)",6.2,102000.0,David Dobkin,Alfred Gough,Jackie Chan,United States,50000000.0,88323487.0,Touchstone Pictures,114.0,0.76646974
Dreamcatcher,R,Drama,2003,"March 21, 2003 (United States)",5.5,90000.0,Lawrence Kasdan,Stephen King,Morgan Freeman,United States,68000000.0,81240406.0,Castle Rock Entertainment,134.0,0.19471185294117646
Daddy Day Care,PG,Comedy,2003,"May 9, 2003 (United States)",5.6,65000.0,Steve Carr,Geoff Rodkey,Eddie Murphy,United States,60000000.0,164433867.0,Revolution Studios,92.0,1.74056445
Paycheck,PG-13,Action,2003,"December 25, 2003 (United States)",6.3,105000.0,John Woo,Philip K. Dick,Ben Affleck,United States,60000000.0,117248958.0,Paramount Pictures,119.0,0.9541493
Duplex,PG-13,Comedy,2003,"September 26, 2003 (United States)",5.9,56000.0,Danny DeVito,Larry Doyle,Ben Stiller,Germany,40000000.0,19322135.0,Miramax,89.0,-0.516946625
Honey,PG-13,Drama,2003,"December 5, 2003 (United States)",5.4,44000.0,Bille Woodruff,Alonzo Brown,Jessica Alba,United States,18000000.0,62228395.0,Universal Pictures,94.0,2.4571330555555555
Wonderland,R,Crime,2003,"October 24, 2003 (United States)",6.6,22000.0,James Cox,James Cox,Val Kilmer,Canada,5000000.0,2466444.0,Lions Gate Films,104.0,-0.5067112
The Haunted Mansion,PG,Comedy,2003,"November 26, 2003 (United States)",5.1,44000.0,Rob Minkoff,David Berenbaum,Eddie Murphy,United States,90000000.0,182290266.0,Walt Disney Pictures,88.0,1.0254474
Sinbad: Legend of the Seven Seas,PG,Animation,2003,"July 2, 2003 (United States)",6.7,51000.0,Patrick Gilmore,John Logan,Brad Pitt,United States,60000000.0,80773077.0,Dreamworks Pictures,86.0,0.34621795
House of the Dead,R,Action,2003,"October 10, 2003 (United States)",2.1,36000.0,Uwe Boll,Mark A. Altman,Jonathan Cherry,Germany,12000000.0,13818181.0,Boll Kino Beteiligungs GmbH & Co. KG,90.0,0.15151508333333333
Gods and Generals,PG-13,Biography,2003,"February 21, 2003 (United States)",6.3,16000.0,Ron Maxwell,Jeff Shaara,Stephen Lang,United States,56000000.0,12923936.0,Turner Pictures (I),219.0,-0.7692154285714285
House of Sand and Fog,R,Crime,2003,"January 9, 2004 (United States)",7.5,66000.0,Vadim Perelman,Andre Dubus III,Jennifer Connelly,United States,16500000.0,16763804.0,Dreamworks Pictures,126.0,0.01598812121212121
A Man Apart,R,Action,2003,"April 4, 2003 (United States)",6.1,46000.0,F. Gary Gray,Christian Gudegast,Vin Diesel,United States,36000000.0,44350926.0,"""DIA"" Productions GmbH & Co. KG",109.0,0.23197016666666667
The Station Agent,R,Comedy,2003,"December 5, 2003 (United States)",7.6,68000.0,Tom McCarthy,Tom McCarthy,Peter Dinklage,United States,500000.0,8701337.0,SenArt Films,89.0,16.402674
Basic,R,Action,2003,"March 28, 2003 (United States)",6.5,61000.0,John McTiernan,James Vanderbilt,John Travolta,Germany,50000000.0,42792561.0,Phoenix Pictures,98.0,-0.14414878
The Human Stain,R,Drama,2003,"December 18, 2003 (Germany)",6.3,30000.0,Robert Benton,Philip Roth,Anthony Hopkins,Germany,30000000.0,22954068.0,Miramax,106.0,-0.2348644
Grind,PG-13,Adventure,2003,"August 15, 2003 (United States)",6.0,12000.0,Casey La Scala,Ralph Sall,Adam Brody,United States,6000000.0,5141166.0,900 Films,105.0,-0.143139
Gothika,R,Horror,2003,"November 21, 2003 (United States)",5.8,108000.0,Mathieu Kassovitz,Sebastian Gutierrez,Halle Berry,United States,40000000.0,141591324.0,Columbia Pictures,98.0,2.5397831
Agent Cody Banks,PG,Action,2003,"March 14, 2003 (United States)",5.1,34000.0,Harald Zwart,Ashley Miller,Frankie Muniz,United States,28000000.0,58795814.0,Metro-Goldwyn-Mayer (MGM),102.0,1.0998505
Bad Santa,R,Comedy,2003,"November 26, 2003 (United States)",7.0,137000.0,Terry Zwigoff,Glenn Ficarra,Billy Bob Thornton,Germany,23000000.0,76490720.0,Columbia Pictures,92.0,2.3256834782608697
Shattered Glass,PG-13,Drama,2003,"November 26, 2003 (United States)",7.1,34000.0,Billy Ray,Buzz Bissinger,Hayden Christensen,United States,6000000.0,2944752.0,Lions Gate Films,94.0,-0.509208
The Lizzie McGuire Movie,PG,Adventure,2003,"May 2, 2003 (United States)",5.5,37000.0,Jim Fall,Susan Estelle Jansen,Hilary Duff,United States,17000000.0,55534455.0,Walt Disney Pictures,94.0,2.2667326470588236
The Cooler,R,Drama,2003,"January 16, 2004 (United States)",6.9,33000.0,Wayne Kramer,Frank Hannah,William H. Macy,United States,3200000.0,10464788.0,ContentFilm,101.0,2.27024625
Cradle 2 the Grave,R,Action,2003,"February 28, 2003 (United States)",5.8,42000.0,Andrzej Bartkowiak,John O'Brien,Jet Li,United States,25000000.0,56489558.0,Warner Bros.,101.0,1.25958232
Uptown Girls,PG-13,Comedy,2003,"August 15, 2003 (United States)",6.2,36000.0,Boaz Yakin,Julia Dahl,Brittany Murphy,United States,20000000.0,44617342.0,Metro-Goldwyn-Mayer (MGM),92.0,1.2308671
Calendar Girls,PG-13,Comedy,2003,"January 1, 2004 (United States)",6.9,24000.0,Nigel Cole,Juliette Towhidi,Helen Mirren,United Kingdom,10000000.0,93400759.0,Touchstone Pictures,108.0,8.3400759
View from the Top,PG-13,Comedy,2003,"March 21, 2003 (United States)",5.3,26000.0,Bruno Barreto,Eric Wald,Gwyneth Paltrow,United States,30000000.0,19526014.0,Miramax,87.0,-0.34913286666666665
Malibu's Most Wanted,PG-13,Comedy,2003,"April 18, 2003 (United States)",5.2,19000.0,John Whitesell,Fax Bahr,Jamie Kennedy,United States,15000000.0,34622504.0,Warner Bros.,86.0,1.3081669333333332
Kangaroo Jack,PG,Action,2003,"January 17, 2003 (United States)",4.4,30000.0,David McNally,Steve Bing,Anthony Anderson,United States,60000000.0,88929111.0,Castle Rock Entertainment,89.0,0.48215185
Radio,PG,Biography,2003,"October 24, 2003 (United States)",6.9,39000.0,Michael Tollin,Mike Rich,Cuba Gooding Jr.,United States,35000000.0,53293628.0,Revolution Studios,109.0,0.5226750857142857
The Recruit,PG-13,Action,2003,"January 31, 2003 (United States)",6.6,131000.0,Roger Donaldson,Roger Towne,Al Pacino,United States,46000000.0,101191884.0,Touchstone Pictures,115.0,1.1998235652173912
Young Adam,NC-17,Crime,2003,"September 26, 2003 (United Kingdom)",6.4,13000.0,David Mackenzie,Alexander Trocchi,Ewan McGregor,United Kingdom,6400000.0,2561820.0,Recorded Picture Company (RPC),98.0,-0.599715625
Hollywood Homicide,PG-13,Action,2003,"June 13, 2003 (United States)",5.3,36000.0,Ron Shelton,Robert Souza,Harrison Ford,United States,75000000.0,51142659.0,Revolution Studios,116.0,-0.31809788
The Triplets of Belleville,PG-13,Animation,2003,"February 13, 2004 (United States)",7.8,51000.0,Sylvain Chomet,Sylvain Chomet,Michèle Caucheteux,France,9500000.0,14776760.0,Les Armateurs,80.0,0.5554484210526316
Stuck on You,PG-13,Comedy,2003,"December 12, 2003 (United States)",5.7,52000.0,Bobby Farrelly,Charles B. Wessler,Matt Damon,United States,55000000.0,65784503.0,Twentieth Century Fox,118.0,0.19608187272727273
Bulletproof Monk,PG-13,Action,2003,"April 16, 2003 (United States)",5.5,48000.0,Paul Hunter,Ethan Reiff,Chow Yun-Fat,United States,52000000.0,37713879.0,Metro-Goldwyn-Mayer (MGM),104.0,-0.27473309615384617
Down with Love,PG-13,Comedy,2003,"May 16, 2003 (United States)",6.3,40000.0,Peyton Reed,Eve Ahlert,Ewan McGregor,United States,35000000.0,39468111.0,Fox 2000 Pictures,101.0,0.12766031428571428
Biker Boyz,PG-13,Action,2003,"January 31, 2003 (United States)",4.7,13000.0,Reggie Rock Bythewood,Michael Gougis,Laurence Fishburne,United States,24000000.0,23510621.0,Dreamworks Pictures,110.0,-0.020390791666666668
The Medallion,PG-13,Action,2003,"August 22, 2003 (United States)",5.3,40000.0,Gordon Chan,Alfred Cheung,Jackie Chan,Hong Kong,41000000.0,34268701.0,Emperor Multimedia Group (EMG),88.0,-0.1641780243902439
The Shape of Things,R,Comedy,2003,"May 16, 2003 (United States)",6.7,11000.0,Neil LaBute,Neil LaBute,Paul Rudd,United States,4000000.0,826617.0,Mepris Films,96.0,-0.79334575
Party Monster,R,Biography,2003,"October 17, 2003 (United Kingdom)",6.3,15000.0,Fenton Bailey,Fenton Bailey,Macaulay Culkin,United States,5000000.0,782606.0,World of Wonder Productions,98.0,-0.8434788
Bringing Down the House,PG-13,Comedy,2003,"March 7, 2003 (United States)",5.6,35000.0,Adam Shankman,Jason Filardi,Steve Martin,United States,33000000.0,164729679.0,Touchstone Pictures,105.0,3.9918084545454544
Willard,PG-13,Drama,2003,"March 14, 2003 (United States)",6.1,18000.0,Glen Morgan,Glen Morgan,Crispin Glover,Canada,20000000.0,8564586.0,New Line Cinema,100.0,-0.5717707
The in-Laws,PG-13,Action,2003,"May 23, 2003 (United States)",5.7,16000.0,Andrew Fleming,Andrew Bergman,Albert Brooks,United States,40000000.0,26891849.0,Franchise Pictures,98.0,-0.327703775
Confidence,R,Crime,2003,"April 25, 2003 (United States)",6.7,34000.0,James Foley,Doug Jung,Edward Burns,United States,15000000.0,23014206.0,Lions Gate Films,97.0,0.5342804
Latter Days,R,Comedy,2003,"July 1, 2004 (Israel)",7.0,17000.0,C. Jay Cox,C. Jay Cox,Wes Ramsey,United States,850000.0,865028.0,Funny Boy Films,107.0,0.01768
Beyond Borders,R,Adventure,2003,"October 24, 2003 (United States)",6.5,26000.0,Martin Campbell,Caspian Tredwell-Owen,Clive Owen,Germany,35000000.0,11705002.0,Mandalay Pictures,127.0,-0.6655713714285715
The Fighting Temptations,PG-13,Comedy,2003,"September 19, 2003 (United States)",5.6,6900.0,Jonathan Lynn,Elizabeth Hunter,Cuba Gooding Jr.,United States,30000000.0,33972062.0,Paramount Pictures,123.0,0.13240206666666668
Anything Else,R,Comedy,2003,"September 19, 2003 (United States)",6.3,30000.0,Woody Allen,Woody Allen,Woody Allen,United States,18000000.0,13585075.0,Dreamworks Pictures,108.0,-0.24527361111111112
I Capture the Castle,R,Drama,2003,"August 8, 2003 (United States)",6.9,7200.0,Tim Fywell,Dodie Smith,Romola Garai,United Kingdom,8000000.0,6586341.0,BBC Films,113.0,-0.176707375
The Jungle Book 2,G,Animation,2003,"February 14, 2003 (United States)",5.4,15000.0,Steve Trenbirth,Karl Geurs,John Goodman,United States,20000000.0,186303759.0,Disney Television Animation,72.0,8.31518795
My Boss's Daughter,PG-13,Comedy,2003,"August 22, 2003 (United States)",4.7,29000.0,David Zucker,David Dorfman,Ashton Kutcher,United States,14000000.0,18191005.0,Dimension Films,86.0,0.2993575
A Guy Thing,PG-13,Comedy,2003,"January 17, 2003 (United States)",5.6,17000.0,Chris Koch,Greg Glienna,Jason Lee,United States,20000000.0,17432163.0,Metro-Goldwyn-Mayer (MGM),101.0,-0.12839185
Intermission,R,Comedy,2003,"April 16, 2004 (United States)",6.8,15000.0,John Crowley,Mark O'Rowe,Cillian Murphy,Ireland,5000000.0,5175215.0,British Broadcasting Corporation (BBC),105.0,0.035043
All the Real Girls,R,Drama,2003,"August 1, 2003 (United Kingdom)",6.8,10000.0,David Gordon Green,David Gordon Green,Zooey Deschanel,United States,2500000.0,579986.0,Jasmine Productions Inc.,108.0,-0.7680056
From Justin to Kelly,PG,Comedy,2003,"June 20, 2003 (United States)",2.1,25000.0,Robert Iscove,Kim Fuller,Kelly Clarkson,United States,12000000.0,4928883.0,19 Entertainment,81.0,-0.58925975
Owning Mahowny,R,Crime,2003,"September 25, 2003 (Argentina)",7.1,13000.0,Richard Kwietniowski,Gary Stephen Ross,Philip Seymour Hoffman,Canada,10000000.0,1271244.0,Alliance Atlantis Communications,104.0,-0.8728756
Head of State,PG-13,Comedy,2003,"March 28, 2003 (United States)",5.5,18000.0,Chris Rock,Chris Rock,Chris Rock,United States,35200000.0,38620484.0,Dreamworks Pictures,95.0,0.09717284090909091
The Singing Detective,R,Comedy,2003,"November 14, 2003 (Brazil)",5.5,8200.0,Keith Gordon,Dennis Potter,Robert Downey Jr.,United States,8000000.0,435625.0,Icon Productions,109.0,-0.945546875
Pieces of April,PG-13,Comedy,2003,"November 28, 2003 (United States)",7.0,20000.0,Peter Hedges,Peter Hedges,Katie Holmes,United States,300000.0,3282321.0,United Artists,80.0,9.94107
Code 46,R,Drama,2003,"September 17, 2004 (United Kingdom)",6.2,20000.0,Michael Winterbottom,Frank Cottrell Boyce,Tim Robbins,United Kingdom,7500000.0,886018.0,BBC Films,93.0,-0.8818642666666666
The Order,R,Horror,2003,"September 5, 2003 (United States)",5.2,17000.0,Brian Helgeland,Brian Helgeland,Heath Ledger,United States,38000000.0,11560806.0,Twentieth Century Fox,102.0,-0.6957682631578948
Veronica Guerin,R,Biography,2003,"October 17, 2003 (United States)",6.9,20000.0,Joel Schumacher,Carol Doyle,Cate Blanchett,Ireland,17000000.0,9439660.0,Touchstone Pictures,98.0,-0.4447258823529412
Shade,R,Crime,2003,"May 9, 2004 (United States)",6.3,12000.0,Damian Nieman,Damian Nieman,Joe Nicolo,United States,10000000.0,459098.0,Cobalt Media Group,101.0,-0.9540902
The Mother,R,Drama,2003,"June 18, 2004 (United States)",6.8,4000.0,Roger Michell,Hanif Kureishi,Anne Reid,United Kingdom,2500000.0,3039587.0,BBC Films,112.0,0.2158348
Rugrats Go Wild,PG,Animation,2003,"June 13, 2003 (United States)",5.6,7900.0,John Eng,Kate Boutilier,Jodi Carlisle,United States,25000000.0,55250496.0,Klasky-Csupo,80.0,1.21001984
Luther,PG-13,Biography,2003,"September 26, 2003 (United States)",6.6,15000.0,Eric Till,Camille Thomasson,Joseph Fiennes,Germany,30000000.0,29632684.0,Eikon Film,123.0,-0.012243866666666667
Saints and Soldiers,PG-13,Action,2003,"March 25, 2005 (United States)",6.7,20000.0,Ryan Little,Geoffrey Panos,Corbin Allred,United States,780000.0,1310470.0,Go Films,90.0,0.6800897435897436
Taxi 3,Not Rated,Action,2003,"January 29, 2003 (France)",5.8,41000.0,Gérard Krawczyk,Luc Besson,Samy Naceri,France,1300000.0,65497208.0,EuropaCorp,84.0,49.38246769230769
The Company,PG-13,Drama,2003,"May 7, 2004 (United Kingdom)",6.3,6300.0,Robert Altman,Neve Campbell,Neve Campbell,United States,15000000.0,6415017.0,Sony Pictures Classics,112.0,-0.5723322
Good Boy,PG,Comedy,2003,"October 10, 2003 (United States)",5.1,4100.0,John Hoffman,Zeke Richardson,Liam Aiken,United States,18000000.0,45490616.0,Metro-Goldwyn-Mayer (MGM),87.0,1.5272564444444445
How to Deal,PG-13,Comedy,2003,"July 18, 2003 (United States)",5.6,9300.0,Clare Kilner,Sarah Dessen,Mandy Moore,United States,16000000.0,14390329.0,Focus Features,101.0,-0.1006044375
The Girl Next Door,R,Comedy,2004,"April 9, 2004 (United States)",6.7,208000.0,Luke Greenfield,David Wagner,Emile Hirsch,United States,25000000.0,30381722.0,New Regency Productions,109.0,0.21526888
EuroTrip,R,Comedy,2004,"February 20, 2004 (United States)",6.6,200000.0,Jeff Schaffer,Alec Berg,Scott Mechlowicz,United States,25000000.0,22605153.0,Dreamworks Pictures,92.0,-0.09579388
Dodgeball: A True Underdog Story,PG-13,Comedy,2004,"June 18, 2004 (United States)",6.7,235000.0,Rawson Marshall Thurber,Rawson Marshall Thurber,Ben Stiller,United States,20000000.0,168423227.0,Twentieth Century Fox,92.0,7.42116135
White Chicks,PG-13,Comedy,2004,"June 23, 2004 (United States)",5.6,135000.0,Keenen Ivory Wayans,Keenen Ivory Wayans,Marlon Wayans,United States,37000000.0,113100873.0,Revolution Studios,109.0,2.0567803513513514
Mean Girls,PG-13,Comedy,2004,"April 30, 2004 (United States)",7.0,347000.0,Mark Waters,Rosalind Wiseman,Lindsay Lohan,United States,17000000.0,130126277.0,Paramount Pictures,97.0,6.654486882352941
Harry Potter and the Prisoner of Azkaban,PG,Adventure,2004,"June 4, 2004 (United States)",7.9,570000.0,Alfonso Cuarón,J.K. Rowling,Daniel Radcliffe,United Kingdom,130000000.0,797361618.0,Warner Bros.,142.0,5.133550907692308
Troy,R,Drama,2004,"May 14, 2004 (United States)",7.2,500000.0,Wolfgang Petersen,Homer,Brad Pitt,United States,175000000.0,497409852.0,Warner Bros.,163.0,1.8423420114285713
Eternal Sunshine of the Spotless Mind,R,Drama,2004,"March 19, 2004 (United States)",8.3,935000.0,Michel Gondry,Charlie Kaufman,Jim Carrey,United States,20000000.0,74036715.0,Focus Features,108.0,2.70183575
Kill Bill: Vol. 2,R,Action,2004,"April 16, 2004 (United States)",8.0,702000.0,Quentin Tarantino,Quentin Tarantino,Uma Thurman,United States,30000000.0,154118820.0,Miramax,137.0,4.137294
The Notebook,PG-13,Drama,2004,"June 25, 2004 (United States)",7.8,534000.0,Nick Cassavetes,Jeremy Leven,Gena Rowlands,United States,29000000.0,117815157.0,New Line Cinema,123.0,3.062591620689655
The Terminal,PG-13,Comedy,2004,"June 18, 2004 (United States)",7.4,421000.0,Steven Spielberg,Andrew Niccol,Tom Hanks,United States,60000000.0,219100084.0,Dreamworks Pictures,128.0,2.6516680666666668
Van Helsing,PG-13,Action,2004,"May 7, 2004 (United States)",6.1,251000.0,Stephen Sommers,Stephen Sommers,Hugh Jackman,United States,160000000.0,300157638.0,Universal Pictures,131.0,0.8759852375
The Incredibles,PG,Animation,2004,"November 5, 2004 (United States)",8.0,673000.0,Brad Bird,Brad Bird,Craig T. Nelson,United States,92000000.0,631607053.0,Pixar Animation Studios,115.0,5.865294054347826
Saw,R,Horror,2004,"October 29, 2004 (United States)",7.6,391000.0,James Wan,Leigh Whannell,Cary Elwes,United States,1200000.0,103911669.0,Evolution Entertainment,103.0,85.5930575
Collateral,R,Crime,2004,"August 6, 2004 (United States)",7.5,373000.0,Michael Mann,Stuart Beattie,Tom Cruise,United States,65000000.0,220239925.0,Paramount Pictures,120.0,2.3883065384615385
The Aviator,PG-13,Biography,2004,"December 25, 2004 (United States)",7.5,342000.0,Martin Scorsese,John Logan,Leonardo DiCaprio,United States,110000000.0,213719942.0,Forward Pass,170.0,0.9429085636363637
Spider-Man 2,PG-13,Action,2004,"June 30, 2004 (United States)",7.3,559000.0,Sam Raimi,Stan Lee,Tobey Maguire,United States,200000000.0,788976453.0,Columbia Pictures,127.0,2.944882265
The Punisher,R,Action,2004,"April 16, 2004 (United States)",6.4,152000.0,Jonathan Hensleigh,Jonathan Hensleigh,Thomas Jane,United States,33000000.0,54700105.0,Lions Gate Films,124.0,0.6575789393939394
"I, Robot",PG-13,Action,2004,"July 16, 2004 (United States)",7.1,509000.0,Alex Proyas,Jeff Vintar,Will Smith,United States,120000000.0,353133898.0,Twentieth Century Fox,115.0,1.9427824833333334
Howl's Moving Castle,PG,Animation,2004,"June 17, 2005 (United States)",8.2,350000.0,Hayao Miyazaki,Hayao Miyazaki,Chieko Baishô,Japan,24000000.0,236214446.0,Buena Vista Home Entertainment,119.0,8.842268583333333
Spanglish,PG-13,Comedy,2004,"December 17, 2004 (United States)",6.4,81000.0,James L. Brooks,James L. Brooks,Adam Sandler,United States,80000000.0,55470154.0,Columbia Pictures,131.0,-0.306623075
Million Dollar Baby,PG-13,Drama,2004,"January 28, 2005 (United States)",8.1,650000.0,Clint Eastwood,Paul Haggis,Hilary Swank,United States,30000000.0,216763646.0,Warner Bros.,132.0,6.2254548666666665
The Village,PG-13,Drama,2004,"July 30, 2004 (United States)",6.5,247000.0,M. Night Shyamalan,M. Night Shyamalan,Sigourney Weaver,United States,60000000.0,256697520.0,Touchstone Pictures,108.0,3.278292
The Butterfly Effect,R,Drama,2004,"January 23, 2004 (United States)",7.6,460000.0,Eric Bress,J. Mackye Gruber,Ashton Kutcher,United States,13000000.0,96822421.0,BenderSpink,113.0,6.447878538461539
The Day After Tomorrow,PG-13,Action,2004,"May 28, 2004 (United States)",6.4,424000.0,Roland Emmerich,Roland Emmerich,Dennis Quaid,United States,125000000.0,552639571.0,Twentieth Century Fox,124.0,3.421116568
Napoleon Dynamite,PG,Comedy,2004,"August 27, 2004 (United States)",6.9,204000.0,Jared Hess,Jared Hess,Jon Heder,United States,400000.0,46138887.0,Fox Searchlight Pictures,96.0,114.3472175
50 First Dates,PG-13,Comedy,2004,"February 13, 2004 (United States)",6.8,335000.0,Peter Segal,George Wing,Adam Sandler,United States,75000000.0,198520934.0,Columbia Pictures,99.0,1.6469457866666666
